OrcPitBossBody	body of the orc pit boss	1	1	1	0	TID_NONE	ATCK_WEAP_WHIP	0	1-1	SPEED_NONE	MOB_NOMOVE	AI_NOMOVE| AI_NOFIGHT	0	BossBody.kod	BossBody.kod:51	BossBody.kod:52	BossBody.kod:53	BossBody.kod:46
BlackMummy	shadow mummy	25	25	4	-20	TID_NEWBIE_AREA	ATCK_WEAP_HIT	0	1-2	SPEED_VERY_SLOW	0	AI_FIGHT_AGGRESSIVE | AI_MOVE_FLEE_FRIGHTENERS	0	mummy/blackmum.kod	mummy.kod:47	mummy/blackmum.kod:38	mummy.kod:49	mummy.kod:44
MummyNoTreasure	mummy	25	25	2	-20	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_VERY_SLOW	0	AI_FIGHT_AGGRESSIVE | AI_MOVE_FLEE_FRIGHTENERS	0	mummy/mummyt.kod	mummy.kod:47	mummy.kod:48	mummy.kod:49	mummy/mummyt.kod:24
FarenPriestess	Priestess Tenuv'vyal	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER | MOB_COND_SELLER | MOB_NOMOVE | MOB_PERM_QUESTER	AI_NPC | AI_NOMOVE	MOB_ROLE_PRIESTESS	temples/farnprst.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
RiijaMonk	Monk of Riija	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER | MOB_PERM_QUESTER | MOB_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_PRIESTESS	temples/kcrjmonk.kod	monster.kod:231	monster.kod:230	temples/kcrjmonk.kod:47	monster.kod:214
KraananPriestess	Priestess Qerti'nya	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER | MOB_COND_SELLER | MOB_NOMOVE | MOB_PERM_QUESTER	AI_NPC | AI_NOMOVE	MOB_ROLE_PRIESTESS	temples/kranprst.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
QorPriestess	Priestess Zuxana	25	25	0	-90	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER | MOB_COND_SELLER | MOB_PERM_QUESTER | MOB_FULL_TALK	AI_NPC | AI_NOMOVE	MOB_ROLE_PRIESTESS	temples/qorprst.kod	monster.kod:231	monster.kod:230	temples/qorprst.kod:50	monster.kod:214
ShalillePriestess	Priestess Xiana	25	25	0	90	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER | MOB_COND_SELLER | MOB_PERM_QUESTER	AI_NPC | AI_NOMOVE	MOB_ROLE_PRIESTESS	temples/shalprst.kod	monster.kod:231	monster.kod:230	temples/shalprst.kod:47	monster.kod:214
BarloqueTown		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/barlqtwn.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
CorNothTown		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/crnthtwn.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Decorator	interior design consultant	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_RECEIVE | MOB_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_SCHOLAR	towns/decoratr.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Goad	The Goad	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOMOVE | MOB_FULL_TALK | MOB_LISTEN | MOB_NOFIGHT | MOB_NOQUEST	AI_NPC | AI_NOMOVE	MOB_ROLE_WATCHER	towns/Goad.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
HazarTown		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/hazartwn.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperTown		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/jasprtwn.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
KocatanTown		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/kocatwn.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
ladypheonix	LadyPhoenix	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	0	0	0	0	towns/ladyphen.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
MarionTown		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/marntwn.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
TosTown		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/tostwn.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Wanderer		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns/wanderer.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Assassin	Roq	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOMOVE | MOB_NOFIGHT | MOB_BUYER | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_ASSASSIN	towns/barlqtwn/assassin.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueApothecary	Joguer	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_BUYER | MOB_SELLER | MOB_NOMOVE | MOB_RANDOM | MOB_LISTEN | MOB_RECEIVE | MOB_TEACHER | MOB_PERM_QUESTER | MOB_LAWFUL | MOB_COND_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_APOTHECARY	towns/barlqtwn/bqapoth.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueBanker	Setag'lib	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT+MOB_BANKER+MOB_NOMOVE+MOB_LISTEN+MOB_RANDOM+MOB_RECEIVE	AI_NPC | AI_NOMOVE	MOB_ROLE_BANKER	towns/barlqtwn/bqbanker.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueBartender	Meidei	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_RECEIVE | MOB_SELLER | MOB_LAWFUL	AI_NPC | AI_NOMOVE	MOB_ROLE_BARTENDER	towns/barlqtwn/bqbart.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueClerk	Caramo	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_LISTEN | MOB_SELLER | MOB_NOMOVE | MOB_LAWFUL | MOB_FULL_TALK | MOB_RECEIVE	AI_NPC | AI_NOMOVE	0	towns/barlqtwn/bqclerk.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueInnkeeper	Pritchett	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_COND_SELLER | MOB_LAWFUL	AI_NPC | AI_NOMOVE	MOB_ROLE_INNKEEPER	towns/barlqtwn/bqinnk.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueMerchant	Herbutte	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_LISTEN | MOB_BUYER | MOB_SELLER | MOB_NOMOVE | MOB_LAWFUL	AI_NPC | AI_NOMOVE	MOB_ROLE_MERCHANT	towns/barlqtwn/bqmerch.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueBlacksmith	Fehr'loi Qan	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_BUYER | MOB_TEACHER | MOB_COND_SELLER | MOB_LAWFUL	AI_NPC | AI_NOMOVE	MOB_ROLE_BLACKSMITH	towns/barlqtwn/bqSmith.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Barloquetailor	Madelia	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_RECEIVE | MOB_SELLER | MOB_LAWFUL	AI_NPC | AI_NOMOVE	MOB_ROLE_TAILOR	towns/barlqtwn/bqtailor.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
BarloqueUrchin	urchin	25	25	0	10	TID_WIMPY	ATCK_WEAP_HIT	0	1-2	10	MOB_SPASM	AI_NPC | AI_NOMOVE	MOB_ROLE_URCHIN	towns/barlqtwn/bqurchin.kod	monster.kod:231	monster.kod:230	towns/barlqtwn/bqurchin.kod:62	towns/barlqtwn/bqurchin.kod:52
barloqueVaultman	Obert Cair'bre	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	0	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_VAULTMAN | MOB_NOQUEST	0	MOB_ROLE_VAULTMAN	towns/barlqtwn/bqvaultm.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
GuildCreator	Frular	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOMOVE | MOB_NOFIGHT | MOB_LISTEN | MOB_RECEIVE	AI_NPC | AI_NOMOVE	MOB_ROLE_GUILD_CREATOR	towns/barlqtwn/gcreator.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
PrincessGuard	Keep Guard	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_NOMOVE | MOB_LISTEN | MOB_RANDOM | MOB_NOQUEST	AI_NPC | AI_NOMOVE	MOB_ROLE_GUARD	towns/barlqtwn/pringrd.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
CornothGrocer	Solomon	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	0	MOB_NOFIGHT | MOB_SELLER | MOB_BUYER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE	0	MOB_ROLE_GROCER	towns/crnthtwn/cngrocer.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
CorNothInnkeeper	D'Franco	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_RECEIVE | MOB_TEACHER | MOB_COND_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_INNKEEPER	towns/crnthtwn/cninnk.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
CorNothSergeant	Rook	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_LISTEN | MOB_TEACHER | MOB_RECEIVE | MOB_NOMOVE | MOB_SELLER | MOB_COND_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_SERGEANT	towns/crnthtwn/cnsarge.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
CorNothTailor	Hester Gilk	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_RECEIVE	AI_NPC | AI_NOMOVE	MOB_ROLE_TAILOR	towns/crnthtwn/cntailor.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
CorNothUrchin	urchin	25	25	0	10	TID_WIMPY	ATCK_WEAP_HIT	0	1-2	10	MOB_SPASM	AI_NPC | AI_NOMOVE	MOB_ROLE_URCHIN	towns/crnthtwn/cnurchin.kod	monster.kod:231	monster.kod:230	towns/crnthtwn/cnurchin.kod:62	towns/crnthtwn/cnurchin.kod:52
HazarApothecary	Ravi	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_NOMOVE | MOB_RANDOM | MOB_LISTEN | MOB_BUYER | MOB_NOQUEST	AI_NPC | AI_NOMOVE	MOB_ROLE_APOTHECARY	towns/hazartwn/hzapoth.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
HazarBartender	Eric d'Jorn	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_NOQUEST	AI_NPC | AI_NOMOVE	MOB_ROLE_BARTENDER	towns/hazartwn/hzbart.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
HazarElder	Rodric d'Stane	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_RANDOM | MOB_LISTEN | MOB_RECEIVE | MOB_NOFIGHT | MOB_NOMOVE | MOB_NOQUEST	AI_NPC | AI_NOMOVE	MOB_ROLE_ELDER	towns/hazartwn/hzelder.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
HazarInnKeeper	Marcus	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_LISTEN | MOB_RECEIVE | MOB_NOMOVE | MOB_NOQUEST | MOB_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_INNKEEPER	towns/hazartwn/hzinnk.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
HazarBlacksmith	Tomas	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_BUYER | MOB_NOQUEST	AI_NPC | AI_NOMOVE	MOB_ROLE_BLACKSMITH	towns/hazartwn/hzsmith.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperBanker	Yevitan	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_BANKER | MOB_NOMOVE | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_BANKER	towns/jasprtwn/jsbanker.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperBartender	Pietro	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE	AI_NPC | AI_NOMOVE	MOB_ROLE_BARTENDER	towns/jasprtwn/jsbart.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperElder	Afiera D'xor	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_RANDOM | MOB_LISTEN | MOB_RECEIVE | MOB_NOFIGHT | MOB_NOMOVE | MOB_TEACHER | MOB_PERM_QUESTER	AI_NPC | AI_NOMOVE	MOB_ROLE_ELDER	towns/jasprtwn/jselder.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperInnKeeper	Widow Qesino	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_RANDOM | MOB_LISTEN | MOB_RECEIVE | MOB_NOMOVE | MOB_SELLER | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_INNKEEPER	towns/jasprtwn/jsinnk.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperMerchant	Zhieu B'hob	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_BUYER | MOB_NOMOVE | MOB_RANDOM | MOB_LISTEN | MOB_COND_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_MERCHANT	towns/jasprtwn/jsmerch.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperBlacksmith	Quintor	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_BUYER | MOB_RANDOM | MOB_NOMOVE | MOB_LISTEN | MOB_TEACHER | MOB_PERM_QUESTER	AI_NPC | AI_NOMOVE	MOB_ROLE_BLACKSMITH	towns/jasprtwn/jssmith.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
JasperUrchin	urchin	25	25	0	10	TID_WIMPY	ATCK_WEAP_HIT	0	1-2	10	MOB_SPASM	AI_NPC | AI_NOMOVE	MOB_ROLE_URCHIN	towns/jasprtwn/jsurchin.kod	monster.kod:231	monster.kod:230	towns/jasprtwn/jsurchin.kod:62	towns/jasprtwn/jsurchin.kod:52
KocatanApothecary	Zala ix'Mecya	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_BUYER | MOB_COND_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_APOTHECARY	towns/kocatwn/kcapoth.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
KocatanBanker	Huital ko'Nosak	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_BANKER	AI_NPC | AI_NOMOVE	MOB_ROLE_BANKER	towns/kocatwn/kcbanker.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
KocatanBartender	Oxal ix'Tokak	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_BUYER	AI_NPC | AI_NOMOVE	MOB_ROLE_BARTENDER	towns/kocatwn/kcbart.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
KocatanBonePriestess	The Bone Priestess	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_PRIESTESS	towns/kocatwn/kcbonepr.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
KocatanBowMaker	Hanla zax'Ta	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	MOB_NOFIGHT | MOB_SELLER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE | MOB_RECEIVE | MOB_COND_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_BLACKSMITH	towns/kocatwn/kcbowmak.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
